_ - url,_ - title,_ - people,_ - calories,quantita,misura,ingrediente
http://www.thegoodkitchen.it/home/2016/8/12/dessert-di-albicocche-e-latte-di-cocco-al-cardamomo,Dessert di Albicocche e Latte di Cocco al Cardamomo,,,300,gr,albicocche
http://www.thegoodkitchen.it/home/2016/8/12/dessert-di-albicocche-e-latte-di-cocco-al-cardamomo,Dessert di Albicocche e Latte di Cocco al Cardamomo,,,300,ml,latte cocco da bere
http://www.thegoodkitchen.it/home/2016/8/12/dessert-di-albicocche-e-latte-di-cocco-al-cardamomo,Dessert di Albicocche e Latte di Cocco al Cardamomo,,,40,gr,sciroppo agave
http://www.thegoodkitchen.it/home/2016/8/12/dessert-di-albicocche-e-latte-di-cocco-al-cardamomo,Dessert di Albicocche e Latte di Cocco al Cardamomo,,,4,foglio,gelatina
http://www.thegoodkitchen.it/home/2016/8/12/dessert-di-albicocche-e-latte-di-cocco-al-cardamomo,Dessert di Albicocche e Latte di Cocco al Cardamomo,,,5,cucchiaio,vaniglia in polvere
http://www.thegoodkitchen.it/home/2016/8/12/dessert-di-albicocche-e-latte-di-cocco-al-cardamomo,Dessert di Albicocche e Latte di Cocco al Cardamomo,,,4,,bacche cardamomo
http://www.thegoodkitchen.it/home/2016/8/12/dessert-di-albicocche-e-latte-di-cocco-al-cardamomo,Dessert di Albicocche e Latte di Cocco al Cardamomo,,,,,sale
http://www.thegoodkitchen.it/home/2016/8/28/parmigiana-di-melanzane-light,Parmigiana di Melanzane light,4,322,1,kg,melanzana
http://www.thegoodkitchen.it/home/2016/8/28/parmigiana-di-melanzane-light,Parmigiana di Melanzane light,4,322,200,gr,mozzarella
http://www.thegoodkitchen.it/home/2016/8/28/parmigiana-di-melanzane-light,Parmigiana di Melanzane light,4,322,40,gr,parmigiano
http://www.thegoodkitchen.it/home/2016/8/28/parmigiana-di-melanzane-light,Parmigiana di Melanzane light,4,322,300,gr,passata pomodoro
http://www.thegoodkitchen.it/home/2016/8/28/parmigiana-di-melanzane-light,Parmigiana di Melanzane light,4,322,10,foglia,basilico
http://www.thegoodkitchen.it/home/2016/8/28/parmigiana-di-melanzane-light,Parmigiana di Melanzane light,4,322,4,cucchiaio,olio extra vergine
http://www.thegoodkitchen.it/home/2016/8/28/parmigiana-di-melanzane-light,Parmigiana di Melanzane light,4,322,,,sale e pepe
http://www.thegoodkitchen.it/home/2016/8/29/panzanella-di-shuttelbrot-con-fagiolini,Panzanella di Shuttelbrot con Fagiolini,4,273,200,gr,shuttelbrot
http://www.thegoodkitchen.it/home/2016/8/29/panzanella-di-shuttelbrot-con-fagiolini,Panzanella di Shuttelbrot con Fagiolini,4,273,300,gr,fagiolini spuntati
http://www.thegoodkitchen.it/home/2016/8/29/panzanella-di-shuttelbrot-con-fagiolini,Panzanella di Shuttelbrot con Fagiolini,4,273,800,gr,pomodori san marzano
http://www.thegoodkitchen.it/home/2016/8/29/panzanella-di-shuttelbrot-con-fagiolini,Panzanella di Shuttelbrot con Fagiolini,4,273,,,peperoncino rosso fresco
http://www.thegoodkitchen.it/home/2016/8/29/panzanella-di-shuttelbrot-con-fagiolini,Panzanella di Shuttelbrot con Fagiolini,4,273,20,foglia,menta
http://www.thegoodkitchen.it/home/2016/8/29/panzanella-di-shuttelbrot-con-fagiolini,Panzanella di Shuttelbrot con Fagiolini,4,273,1,cucchiaio,erba cipollina
http://www.thegoodkitchen.it/home/2016/8/29/panzanella-di-shuttelbrot-con-fagiolini,Panzanella di Shuttelbrot con Fagiolini,4,273,2,cucchiaio,olio extra vergine
http://www.thegoodkitchen.it/home/2016/8/29/panzanella-di-shuttelbrot-con-fagiolini,Panzanella di Shuttelbrot con Fagiolini,4,273,,,sale marino integrale
http://www.thegoodkitchen.it/home/2016/8/29/panzanella-di-shuttelbrot-con-fagiolini,Panzanella di Shuttelbrot con Fagiolini,4,273,,,pepe
http://www.thegoodkitchen.it/home/2016/8/30/spaghetti-al-limone,Spaghetti al Limone,4,290,280,gr,spaghetti integrali
http://www.thegoodkitchen.it/home/2016/8/30/spaghetti-al-limone,Spaghetti al Limone,4,290,1,,limone
http://www.thegoodkitchen.it/home/2016/8/30/spaghetti-al-limone,Spaghetti al Limone,4,290,1,cucchiaio,rosmarino fresco tritato
http://www.thegoodkitchen.it/home/2016/8/30/spaghetti-al-limone,Spaghetti al Limone,4,290,2,cucchiaio,olio extra vergine
http://www.thegoodkitchen.it/home/2016/8/30/spaghetti-al-limone,Spaghetti al Limone,4,290,,,sale
